review,customer_ID,Date,taste,taste_score,amount,amount_score,delivery,delivery_score,menu,Selected_Menu
맛있게 잘 먹었습니다 !!,al**님,2024년 4월 21일,맛,5,양,5,배달,0,"둘이서 실속 콤보（메뉴2＋사이드1）/1(서비스 메뉴 추가선택(＋（제공） 모닝빵＋딸기잼),서비스 메뉴 추가선택(＋（제공） 한입 포테이토 샐러드),둘이서 콤보 메뉴 선택1(＋우삼겹 알리오올리오),메뉴1） 맵기 선택(＋기본]),둘이서 콤보 메뉴 선택2(＋김치 베이컨 필라프),메뉴2） 맵기 선택(＋기본]),（세트）사이드메뉴 선택1(＋[NEW]치킨너겟 6개),피클O／X(피클X))","우삼겹 알리오올리오, 포테이토 샐러드, 치킨너겟"
"다음에는 잘 챙겨주세요!
식사 맛있었어요! 감사합니다.",ck**님,2024년 4월 21일,맛,5,양,5,배달,0,"둘이서 실속 콤보（메뉴2＋사이드1）/1(서비스 메뉴 추가선택(＋（제공）모닝빵＋딸기쨈),서비스 메뉴 추가선택(＋（제공） 모닝빵＋딸기잼),둘이서 콤보 메뉴 선택1(＋치즈볼 로제 파스타),메뉴1） 맵기 선택(＋2단계] 불닭볶음면 맵기),둘이서 콤보 메뉴 선택2(＋치킨마요 필라프),메뉴2） 맵기 선택(＋2단계] 불닭볶음면 맵기),（세트）사이드메뉴 선택1(＋육즙가득 통소세지（＋케찹）),피클O／X(피클O))","육즙가득 통소세지, 치킨마요 필라프, 치즈볼"
"너무 맛있었습니다~~
요구사항도 다 들어주셔서 너무 좋아요",hf**님,2024년 4월 21일,맛,5,양,5,배달,0,"둘이서 실속 콤보（메뉴2＋사이드1）/1(서비스 메뉴 추가선택(＋（제공）모닝빵＋딸기쨈),서비스 메뉴 추가선택(＋（제공） 한입 포테이토 샐러드),둘이서 콤보 메뉴 선택1(＋우삼겹 필라프),메뉴1） 맵기 선택(＋1단계] 신라면 맵기),메뉴1） 추가선택(＋메뉴1）[[인기]]Grilled스테이크90g（토핑）),둘이서 콤보 메뉴 선택2(＋（감동）투움바 파스타),메뉴2） 맵기 선택(＋1단계] 신라면 맵기),메뉴2） 추가선택(＋메뉴1）[[인기]]Grilled왕새우4개（토핑）),（세트）사이드메뉴 선택1(＋버팔로윙4개),피클O／X(피클X))","포테이토 샐러드, 투움바 파스타, 우삼겹 필라프, 버팔로윙"
잘먹었어요.,sh**님,2024년 4월 21일,맛,5,양,5,배달,0,"둘이서 실속 콤보（메뉴2＋사이드1）/1(서비스 메뉴 추가선택(＋（제공）모닝빵＋딸기쨈),서비스 메뉴 추가선택(＋（제공） 모닝빵＋딸기잼),둘이서 콤보 메뉴 선택1(＋（감동）투움바 파스타),메뉴1） 맵기 선택(＋1단계] 신라면 맵기),둘이서 콤보 메뉴 선택2(＋속풀이해장 얼큰한 파스타),메뉴2） 맵기 선택(＋4단계] 도~전정신),（세트）사이드메뉴 선택1(＋육즙가득 통소세지（＋케찹）),피클O／X(피클O)),[여심저격]새우 바질페스토 파스타/1(피클O／X(피클O))","새우 바질페스토 파스타, 육즙가득 통소세지, 투움바 파스타"
아이들과 함께 먹었는데 양도 푸짐하고 맛도 너무 좋았습니다^^ 번창하셔요~,sm**님,2024년 4월 20일,맛,5,양,5,배달,0,"패밀리 만찬 세트（메뉴3＋스테이크1＋음료2）/1(도로시 패밀리 메뉴1） [ 선택 ](＋（인기）쉬림프 알리오올리오),도로시 패밀리 메뉴1 맵기 [선택](기본]),도로시 패밀리 메뉴2） [ 선택 ](＋쉬림프&베이컨 로제파스타),도로시 패밀리 메뉴2 맵기 [선택](기본]),도로시 패밀리 메뉴2 토핑옵션 선택(＋NEW／／치킨너겟 4개),도로시 패밀리 메뉴3） [ 선택 ](＋（인기）투움바 파스타),도로시 패밀리 메뉴3 맵기 [선택](기본]),도로시 패밀리 스테이크 [선택](폭립 half ＋ 감자튀김),도로시 패밀리 음료 [선택](＋[콜라＋스프라이트]),피클O／X(피클O)),베이컨 토마토파스타/1(맵기조절 선택（2）(＋기본),피클O／X(피클O))","쉬림프&베이컨 로제파스타, 쉬림프 알리오올리오, 베이컨 토마토파스타, 투움바 파스타, 치킨너겟, 감자튀김"
맛있게 잘 먹었습니다,i6**님,2024년 4월 19일,맛,5,양,5,배달,5,"[담백]도로시 크림 파스타/1(토핑 옵션 추가선택(＋[[인기]]Grilled 스테이크90g 추가),토핑 옵션 추가선택(＋가라아게 3개（토핑） 추가),서비스 메뉴 추가선택(＋（제공）한입 단호박 샐러드),피클O／X(피클O))","도로시 크림 파스타, 단호박 샐러드, 가라아게"
맛있고 푸짐해용 잘먹었습니다!!,su**님,2024년 4월 19일,맛,5,양,5,배달,0,"둘이서 실속 콤보（메뉴2＋사이드1）/1(서비스 메뉴 추가선택(＋（제공）모닝빵＋딸기쨈),서비스 메뉴 추가선택(＋（제공） 한입 단호박 샐러드),둘이서 콤보 메뉴 선택1(＋쉬림프&베이컨 로제 파스타),메뉴1） 맵기 선택(＋2단계] 불닭볶음면 맵기),둘이서 콤보 메뉴 선택2(＋우삼겹 알리오올리오),메뉴2） 맵기 선택(＋2단계] 불닭볶음면 맵기),（세트）사이드메뉴 선택1(＋육즙가득 통소세지（＋케찹）),피클O／X(피클X))","우삼겹 알리오올리오, 육즙가득 통소세지, 단호박 샐러드"
처음시켜보는데 맛있었습니다,ja**님,2024년 4월 17일,맛,5,양,5,배달,0,"속풀이얼큰 파스타 （기본매콤）/1(맵기조절 선택（2）(＋1단계] 신라면 맵기),서비스 메뉴 추가선택(＋（제공）한입 포테이토 샐러드),피클O／X(피클O)),[ 강력추천 ] 우삼겹 （ 필라프 ）/1(맵기조절 선택（2）(＋기본),서비스 메뉴 추가선택(＋（제공）한입 포테이토 샐러드),피클O／X(피클O)),베이컨 토마토파스타/1(맵기조절 선택（2）(＋기본),서비스 메뉴 추가선택(＋（제공）한입 단호박 샐러드),피클O／X(피클O))","베이컨 토마토파스타, 속풀이얼큰 파스타, 포테이토 샐러드, 단호박 샐러드"
"원래 이러진 않았던것 같은데
김치필라프는 탄자국이 많고 탄맛도 살짝 나는데다
비스크필라프는 지나치게 느끼하고 쓴맛이 많이 나요
심지어 두 필라프 모두 죽처럼 찐득하게 되어서 왔네요
다음에 시킬때는 필라프는 없는걸로.",je**님,2024년 4월 17일,맛,3,양,3,배달,0,"둘이서 실속 콤보（메뉴2＋사이드1）/1(서비스 메뉴 추가선택(＋（제공） 한입 포테이토 샐러드),둘이서 콤보 메뉴 선택1(새우 비스크소스 필라프),메뉴1） 맵기 선택(＋1단계] 신라면 맵기),둘이서 콤보 메뉴 선택2(＋김치 베이컨 필라프),메뉴2） 맵기 선택(＋2단계] 불닭볶음면 맵기),（세트）사이드메뉴 선택1(＋육즙가득 통소세지（＋케찹）),피클O／X(피클X))","새우 비스크소스 필라프, 육즙가득 통소세지, 포테이토 샐러드"
"가끔 시켜먹는데
여전히 맛있어요!
또시켜먹을께요!",ab**님,2024년 4월 17일,맛,5,양,5,배달,0,"둘이서 실속 콤보（메뉴2＋사이드1）/1(서비스 메뉴 추가선택(＋（제공） 모닝빵＋딸기잼),서비스 메뉴 추가선택(＋（제공） 한입 포테이토 샐러드),둘이서 콤보 메뉴 선택1(＋속풀이해장 얼큰한 파스타),메뉴1） 맵기 선택(＋1단계] 신라면 맵기),둘이서 콤보 메뉴 선택2(＋（중독）매콤 도로시 크림파스타),메뉴2） 맵기 선택(＋1단계] 신라면 맵기),（세트）사이드메뉴 선택1(＋버팔로윙2개＋치킨가라아게2개),피클O／X(피클O))","포테이토 샐러드, 버팔로윙, 가라아게"
